park,hospital,supermarket,office,school,leisure,shopping
0,1,18,102,37,13,59
0,1,18,363,74,13,0
0,1,18,498,74,13,0
0,1,18,195,74,13,0
0,1,18,344,74,13,59
0,1,18,89,74,13,59
0,1,18,444,37,164,0
0,1,18,413,74,13,0
0,1,18,440,74,13,0
1,1,23,432,74,214,20
1,1,23,469,65,19,0
1,1,23,291,74,19,0
1,1,23,351,65,19,0
1,1,23,461,65,19,0
1,1,23,148,74,214,20
1,1,23,139,65,19,0
1,1,23,339,74,19,0
1,1,23,317,74,214,20
1,1,23,209,65,19,0
1,1,23,427,65,19,0
1,1,23,157,74,19,0
1,1,23,255,74,19,0
1,1,23,460,74,19,0
1,1,23,505,65,19,0
1,1,23,324,74,19,0
1,1,23,521,65,19,0
1,1,23,120,74,214,20
1,1,23,189,74,214,20
1,1,23,473,65,19,0
1,1,23,85,74,214,0
1,1,23,0,74,19,0
1,1,23,467,74,214,0
1,1,23,443,65,19,0
1,1,23,71,74,19,0
1,1,23,410,74,214,0
1,1,23,484,74,19,0
1,1,23,247,74,214,0
1,1,23,285,65,19,0
1,1,23,71,74,214,0
1,1,23,316,74,19,0
1,1,23,93,74,19,0
1,1,23,344,74,19,0
1,1,23,484,74,19,0
1,1,23,236,74,214,20
1,1,23,144,74,19,0
1,1,23,317,65,19,0
1,1,23,192,74,214,0
1,1,23,366,65,19,0
1,1,23,389,74,214,20
1,1,23,443,74,19,0
1,1,23,480,65,19,0
1,1,23,198,74,214,20
1,1,23,379,74,19,0
1,1,23,121,65,19,0
1,1,23,300,65,19,0
1,1,23,251,65,19,0
1,1,23,189,74,214,0
1,1,23,246,65,19,0
1,1,23,213,74,19,0
1,1,23,415,74,19,0
1,1,23,152,74,214,0
1,1,23,469,74,214,0
1,1,23,364,74,214,20
1,1,23,125,74,19,0
1,1,23,235,74,214,20
1,1,23,462,74,19,0
1,1,23,358,65,19,0
1,1,23,373,65,19,0
1,1,23,413,65,19,0
1,1,23,220,65,19,0
1,1,23,471,74,19,0
1,1,23,296,65,19,0
1,1,23,397,65,19,0
1,1,23,263,74,214,0
1,1,23,355,65,19,0
1,1,23,452,74,19,0
1,1,23,459,65,19,0
1,1,23,383,74,19,0
1,1,23,470,65,19,0
1,1,23,256,74,19,0
1,1,23,195,65,19,0
1,1,23,272,65,19,0
1,1,23,43,74,214,20
1,1,23,488,74,214,20
1,1,23,265,74,214,20
1,1,23,271,65,19,0
1,1,23,305,65,19,0
1,1,23,328,74,19,0
1,1,23,154,74,19,0
1,1,23,67,74,214,0
1,1,23,63,74,214,20
1,1,23,496,65,19,0
1,1,23,335,74,214,20
1,1,23,473,74,214,20
1,1,23,393,74,214,20
1,1,23,430,74,19,0
1,1,23,108,65,19,0
1,1,23,404,65,19,0
1,1,23,167,74,19,0
1,1,23,194,74,19,0
1,1,23,422,74,19,0
1,1,23,186,65,19,0
1,1,23,28,74,19,0
1,1,23,124,65,19,0
1,1,23,326,65,19,0
1,1,23,306,74,19,0
1,1,23,454,74,214,20
1,1,23,324,74,19,0
1,1,23,267,74,19,0
1,1,23,444,74,214,20
1,1,23,158,65,19,0
1,1,23,219,65,19,0
1,1,23,390,74,19,0
1,1,23,91,74,19,0
1,1,23,99,74,214,0
