park,hospital,supermarket,office,school,leisure,shopping
1,2,3,179,41,15,3
1,2,3,82,41,15,3
1,2,3,232,41,5,3
1,2,3,157,41,15,3
1,2,3,55,41,5,3
1,2,3,405,41,15,3
1,2,3,243,41,15,3
1,2,3,70,41,15,3
1,2,3,246,41,15,3
1,2,3,296,41,5,3
1,2,3,341,41,40,3
1,2,3,13,41,15,3
1,2,3,85,41,15,3
1,2,3,100,41,15,3
1,2,3,121,41,15,3
1,2,3,357,41,15,3
1,2,3,391,41,15,3
1,2,3,217,41,15,3
1,2,3,55,41,40,3
1,2,3,326,41,15,3
1,2,3,273,41,5,3
1,2,3,161,41,5,3
1,2,3,301,41,40,3
1,2,3,367,41,15,3
1,2,3,179,41,15,3
1,2,3,151,41,15,3
1,2,3,194,41,5,3
1,2,3,107,41,5,3
1,2,3,221,41,15,3
1,2,3,99,41,15,3
1,2,3,54,41,15,3
1,2,3,70,41,15,3
1,2,3,66,41,15,3
1,2,3,124,41,40,3
1,2,3,69,41,5,3
1,2,3,87,41,15,3
1,2,3,87,41,15,3
1,2,3,176,41,15,3
1,2,3,119,41,15,3
1,2,3,233,41,15,3
1,2,3,64,41,15,3
1,2,3,127,41,5,3
1,2,3,206,41,15,3
1,2,3,2,41,15,3
1,2,3,175,41,40,3
1,2,3,325,41,15,3
1,2,3,398,41,15,3
1,2,3,379,41,40,3
1,2,3,320,41,15,3
1,2,3,337,41,40,3
1,2,3,278,41,15,3
1,2,3,148,41,15,3
1,2,3,310,41,15,3
1,2,3,247,41,15,3
1,2,3,308,41,15,3
1,2,3,169,41,15,3
1,2,3,235,41,15,3
1,2,3,250,41,15,3
1,2,3,247,41,15,3
1,2,3,362,41,40,3
1,2,3,104,41,15,3
1,2,3,67,41,15,3
1,2,3,176,41,15,3
1,2,3,158,41,5,3
1,2,3,277,41,15,3
1,2,3,349,41,40,3
1,2,3,321,41,15,3
1,2,3,355,41,5,3
1,2,3,54,41,15,3
1,2,3,289,41,15,3
1,2,3,292,41,15,3
1,2,3,90,41,5,3
1,2,3,255,41,5,3
1,2,3,66,41,15,3
1,2,3,365,41,15,3
1,2,3,207,41,15,3
1,2,3,229,41,15,3
1,2,3,130,41,15,3
1,2,3,339,41,15,3
1,2,3,127,41,15,3
1,2,3,324,41,14,3
1,2,3,89,41,5,3
1,2,3,158,41,15,3
1,2,3,212,41,15,3
1,2,3,357,41,15,3
1,2,3,107,41,5,3
1,2,3,189,41,15,3
1,2,3,401,41,15,3
1,2,3,124,41,15,3
1,2,3,101,41,15,3
1,2,3,66,41,15,3
1,2,3,29,41,15,3
1,2,3,200,41,15,3
1,2,3,394,41,15,3
1,2,3,26,41,15,3
1,2,3,151,41,15,3
1,2,3,193,41,15,3
1,2,3,109,41,5,3
1,2,3,248,41,40,3
1,2,3,375,41,40,3
1,2,3,221,41,40,3
1,2,3,75,41,5,3
1,2,3,365,41,15,3
1,2,3,150,41,15,3
1,2,3,41,41,15,3
1,2,3,348,41,5,3
1,2,3,141,41,5,3
1,2,3,264,41,15,3
1,2,3,111,41,15,3
1,2,3,348,41,15,3
1,2,3,324,41,5,3
1,2,3,198,41,15,3
1,2,3,384,41,15,3
1,2,3,109,41,15,3
1,2,3,109,41,5,3
1,2,3,201,41,15,3
1,2,3,273,41,15,3
1,2,3,242,41,15,3
1,2,3,64,41,15,3
1,2,3,175,41,15,3
1,2,3,96,41,15,3
1,2,3,130,41,5,3
1,2,3,294,41,15,3
1,2,3,360,41,15,3
1,2,3,367,41,5,3
1,2,3,312,41,15,3
1,2,3,154,41,15,3
1,2,3,301,41,15,3
